layer,region,accuracy
conv1,V1,0.03118162559398939
conv1,V2,0.029456834068865588
conv1,V3,0.019530024128094386
conv1,V4,0.027236822646894403
conv1,LOC,0.012906569188247325
conv1,EBA,0.011676331244231002
conv1,FFA,0.007146725047907951
conv1,STS,-0.004124105526513062
conv1,PPA,0.018067116158744904
conv2,V1,0.06170498503307165
conv2,V2,0.06663944340202757
conv2,V3,0.05117571846401095
conv2,V4,0.0404820560988052
conv2,LOC,0.04523319179968632
conv2,EBA,0.04837515827757939
conv2,FFA,0.03651242031621641
conv2,STS,0.017868363641848777
conv2,PPA,0.03643946227289414
conv3,V1,0.06710774054971641
conv3,V2,0.07312446325524698
conv3,V3,0.07408918232468935
conv3,V4,0.05418558113809397
conv3,LOC,0.08116031945286555
conv3,EBA,0.0853748649714978
conv3,FFA,0.0605481324357226
conv3,STS,0.028608677941371796
conv3,PPA,0.053828453286614904
conv4,V1,0.09554898282266384
conv4,V2,0.10798175083144303
conv4,V3,0.10067749734654237
conv4,V4,0.08685727298529831
conv4,LOC,0.1051729211574782
conv4,EBA,0.11450178230783667
conv4,FFA,0.0942642268614
conv4,STS,0.04515812616534744
conv4,PPA,0.08149809956505767
conv5,V1,0.11108287479998082
conv5,V2,0.12544890977799097
conv5,V3,0.11848552357748278
conv5,V4,0.11318587919570126
conv5,LOC,0.11281283829008068
conv5,EBA,0.11154432171600784
conv5,FFA,0.11187408591428673
conv5,STS,0.0470775579682432
conv5,PPA,0.08914877472716455
fc6,V1,0.08642453242263946
fc6,V2,0.10309306850751584
fc6,V3,0.09497228685593366
fc6,V4,0.09022122141872133
fc6,LOC,0.0950696585644501
fc6,EBA,0.10164233678579654
fc6,FFA,0.09701237185579552
fc6,STS,0.032508529785488884
fc6,PPA,0.07744774051697381
fc7,V1,0.09949271639407066
fc7,V2,0.11145867421601847
fc7,V3,0.10984722922827685
fc7,V4,0.11784502942289168
fc7,LOC,0.12972494438724377
fc7,EBA,0.13179687380229713
fc7,FFA,0.12983534752175174
fc7,STS,0.050052590583829694
fc7,PPA,0.11533433208899758
fc8,V1,0.057791983697232874
fc8,V2,0.08867656933203047
fc8,V3,0.09359965479660112
fc8,V4,0.09998297264013578
fc8,LOC,0.1283038007942791
fc8,EBA,0.12756226583680924
fc8,FFA,0.12329050035591313
fc8,STS,0.06366943066809906
fc8,PPA,0.11175555857738849
