region,alexnet_best_accuracy,alexnet_best_layer,resnet_vggface2_best_accuracy,resnet_vggface2_best_layer,difference (alexnet - resnet)
V1,0.1972811898608767,conv4,0.1822784692489801,repeat_1,0.015002720611896586
V2,0.2092981631898192,conv4,0.1883353737381649,repeat_1,0.020962789451654307
V3,0.1924606541495436,conv5,0.1604751524117492,repeat_1,0.03198550173779441
V4,0.1954273048181649,fc6,0.123649482063027,repeat_1,0.07177782275513789
LOC,0.2439765400256546,fc8,0.1681764073212855,repeat_1,0.07580013270436911
EBA,0.2465708091293467,fc8,0.169041895381298,repeat_1,0.07752891374804871
FFA,0.2656663521531836,fc8,0.1836604569044653,repeat_1,0.08200589524871832
STS,0.1411582666761766,fc7,0.1037697634454694,repeat_1,0.03738850323070719
PPA,0.2214825085716176,fc8,0.1294243212807402,repeat_1,0.09205818729087742
